name,tag,note
协同,0,0=不确定
之初,1,1=无关
瞿,0,2=疾病
近乎,1,3=表型
取消,1,4=用药
使营,0,
求诊者,1,
鲜生,0,
继服,4,
高兴,1,
温胆,4,
东南,1,
清心,1,
误治,1,
谷,1,
恐,3,
迎随,1,
灰,1,
本质,1,
不起,1,
瘟,2,
内闭,2,
老年,1,
;,1,
足以,1,
如治,1,
哮喘,2,
令,1,
学员,1,
三是,1,
皮球,1,
劝,1,
愈者,1,
梓潼,1,
疏通,1,
肺部,1,
好学,1,
风热,2,
每逢,1,
养心,4,
自动,1,
加附,1,
囿于,1,
五月,1,
常见病,2,
有言,1,
诊费,1,
法度,1,
坐堂,1,
试,1,
腻,1,
断为,1,
计,1,
喜欢,1,
隐痛,3,
历来,1,
六味,1,
睡眠,1,
氏,1,
祛风,4,
外因,0,
加用,4,
可惜,1,
忽,1,
宗旨,1,
学以致用,1,
单独,1,
寒湿,2,
多读,1,
信任,1,
致使,1,
大多,1,
提,1,
概念,1,
流血,3,
营分,0,
虚劳,2,
120,1,
执业,1,
成人,1,
关怀,1,
回家,1,
前提,1,
休克,3,
包含,1,
之始,1,
多以,1,
论著,1,
分清,1,
川楝,4,
烧山火,4,
诊视,0,
天真,1,
论文,1,
胃纳,1,
差异,1,
锻炼,4,
以制,1,
执行,1,
日月,1,
捻转,4,
内服,4,
数日,1,
锛,1,
而治,1,
不行,1,
芪,4,
负责,1,
方向,1,
有主,1,
别,1,
脏器,0,
肝风,2,
利,0,
苓,4,
起病,1,
一症,1,
之官,1,
释,1,
热情,1,
精湛,1,
之谓,1,
荆芥,4,
煎药,4,
洌,0,
恶风,3,
药材,1,
远志,1,
垂危,1,
为先,1,
卒业,1,
唇,1,
搜集,1,
嘱,1,
屡,1,
为止,1,
基本上,1,
嗜,1,
产后,1,
线,1,
看作,1,
须知,1,
应付,1,
已故,1,
接近,1,
ā,1,
赞同,1,
不畅,1,
血液,1,
挂钟,1,
全功,1,
汇通,1,
消瘦,2,
ǖ,1,
弥补,1,
四月,1,
舌诊,1,
纵横,1,
不错,1,
此处,1,
家境,1,
要学,1,
枯,3,
嗣,1,
淡渗,0,
局方,4,
问诊,4,
一字,1,
各有所长,1,
前医,1,
觥,1,
吹,1,
参考书,1,
幔,1,
因于,1,
无定,1,
青紫,3,
么,1,
结,1,
朱砂,4,
指下,1,
其表,1,
实热,3,
领悟,1,
胃脘,1,
殊不知,1,
传染,3,
疟,2,
国药,1,
进而,1,
过早,1,
疏,1,
吃药,1,
礼,1,
背书,1,
一概,1,
六味地黄,4,
到处,1,
我学,1,
未敢,1,
粪,1,
吞咽,1,
徐出,1,
胆汁,1,
成册,1,
扁鹊,1,
停留,1,
大出血,3,
墓,0,
参苓,4,
水火,1,
使方,1,
之感,1,
质,1,
不留,1,
适应症,2,
灸,4,
少阴,3,
垢,3,
易经,1,
吐泻,2,
其为,1,
一视同仁,1,
勤,1,
Ｆ,1,
黄厚,1,
⒁,1,
求治者,1,
院,1,
想起,1,
门户,1,
名噪,1,
书中,1,
曾用,1,
τ,1,
览,1,
保定,1,
捎,1,
九月,1,
烦躁不安,3,
生气,3,
犹可,1,
绝非,1,
其法,1,
重则,1,
下利,1,
百家,1,
余云,1,
治本,1,
一汤,1,
之势,1,
命名,1,
闭,1,
消退,1,
看见,1,
不了,1,
河间,1,
桴,1,
深浅,1,
温燥,3,
师友,1,
附片,4,
舒畅,3,
消灭,0,
宜用,1,
蜀,2,
三种,2,
四逆汤,4,
药治,1,
超过,1,
专攻,1,
已成,1,
神倦,1,
较之,1,
重危,1,
效验,1,
特约,1,
靠,1,
甘温,4,
师事,1,
嗟,1,
清肺,4,
这时,1,
经费,1,
两句,1,
抑郁,3,
疳积,3,
王渭川,1,
怎样,1,
党和人民,1,
肯定,1,
盛者,1,
月经不调,2,
健,1,
三天,1,
述,1,
体重,1,
特,1,
晚,1,
殭,1,
这使,1,
肢体,1,
去世,1,
标志,1,
登堂入室,1,
熟记,1,
不温,1,
遣方,1,
茫茫,1,
饕,1,
科学技术,1,
纲领,1,
阳证,3,
徒弟,1,
男子,1,
张氏医通,1,
每能,1,
止泻,4,
细察,1,
篇章,1,
渗透,1,
水谷之,0,
自芍,1,
君子,1,
药效,1,
乌,0,
不尽,1,
两脉,0,
平肝熄风,4,
软,3,
杂,1,
批判,1,
洪大,1,
出奇制胜,1,
种,1,
联想,1,
关幼波,1,
有助于,1,
此即,1,
缓缓,1,
头部,1,
幸,1,
针药,1,
性质,1,
亏损,1,
计划,1,
六一散,4,
某种,1,
观,1,
痪,1,
浓,1,
骨髓,0,
装入,1,
在内,1,
宋,1,
辨明,1,
有毒,1,
牢记,1,
不足以,1,
凡遇,1,
每用,1,
两剂,1,
纪念,1,
念及,1,
一九五三年,1,
猪,1,
常在,1,
首都,1,
湖北,1,
心中有数,1,
声音,1,
失误,1,
剑,1,
青皮,1,
刍言,0,
珍藏,0,
哪些,0,
归于,0,
图,0,
百出,0,
欲求,0,
显然,0,
熟能生巧,0,
抽风,2,
汀,0,
束缚,1,
医论,1,
赖,1,
务必,1,
五十余,1,
脑震荡,2,
诊断学,0,
病床,1,
笥,0,
撰,1,
有形,0,
编有,1,
愈病,1,
外用,4,
气运,1,
气促,1,
精益求精,1,
氖,1,
长沙,1,
守,1,
眼,1,
水湿,1,
胸膈,0,
扶正祛邪,4,
