name,tag,note
六十年,1,0=不确定
体验,1,1=无关
兼施,1,2=疾病
生命,1,3=表型
小柴胡,4,4=用药
她,1,
荷叶,0,
现,1,
繁忙,1,
蒲辅周,1,
清楚,1,
夏,1,
各异,1,
治以,1,
精深,1,
期,1,
一旦,1,
必读,1,
民国,1,
病程,1,
查,1,
胸中,0,
心中,0,
政策,1,
当地,1,
相同,1,
春,1,
一篇,1,
能够,1,
畅,1,
Ｈ,1,
沪,1,
迨,1,
Ｒ,1,
收效,1,
肿胀,3,
至宝丹,4,
调和,0,
终于,1,
载,1,
心法,1,
收获,1,
入手,1,
疗法,1,
推敲,1,
合谷,0,
热外,1,
肝硬化,2,
中医科,1,
抗菌素,4,
三诊,1,
郁热,3,
前方,1,
可贵,1,
熄风,4,
研究院,1,
湿温,2,
之功,1,
南京,1,
诸症,1,
希望,1,
证见,1,
味,1,
三者,1,
相当,1,
卫生,1,
一药,1,
以治,1,
药味,1,
各科,1,
血分,1,
迎,1,
一部,1,
进修学校,1,
内陷,1,
捻,1,
凉,3,
反动,1,
湖南,1,
理,1,
翻阅,1,
发表,1,
张仲景,1,
竹茹,4,
攻,1,
贵在,1,
汤主,1,
药用,1,
危重,1,
原来,1,
较大,1,
患病,1,
温补,1,
三月,1,
医林,1,
应从,1,
取穴,1,
之学,1,
先天,1,
消除,1,
诊疗,1,
90,1,
多用,1,
摸索,1,
对比,1,
相,1,
方可,1,
王,1,
晚上,1,
咽喉,1,
对待,1,
句,1,
那年,1,
膏药,1,
体现,1,
中草药,1,
初诊,1,
银,1,
不及,1,
月刊,1,
重剂,1,
群众,1,
虫,1,
阿胶,4,
注家,1,
中风,2,
黑,1,
力求,1,
嫩,1,
涉及,1,
写成,1,
末,1,
成药,1,
心悸,3,
阐明,1,
风邪,3,
服务,1,
设,1,
创新,1,
八月,1,
辄,1,
不可不,1,
不必,1,
发,1,
承气汤,1,
积,1,
建立,1,
生前,1,
上午,1,
仲景之,1,
糖尿病,2,
之义,1,
年轻,1,
病种,1,
立论,1,
其间,1,
专业,1,
轻灵,1,
转,1,
闻,1,
周身,1,
叔,1,
反而,1,
直至,1,
小传,1,
凝滞,3,
按照,1,
咳喘,2,
c,1,
胀,3,
兴趣,1,
化裁,1,
六经,1,
仁,1,
局限,1,
忽视,1,
类经,1,
见证,1,
增多,1,
选药,1,
方式,1,
精当,1,
符合,1,
待,1,
脉细数,1,
山栀,4,
邀,1,
检验,1,
而致,1,
防风,1,
虚心,1,
曾经,1,
下来,1,
蔻,1,
适应,1,
深夜,1,
专,1,
愿,1,
扩大,1,
而成,1,
阐发,1,
乃是,1,
痛苦,1,
寒温,3,
习惯,1,
补益,1,
贻误,1,
身,1,
平人,1,
攻补,1,
流派,1,
学好,1,
此法,1,
破,1,
大论,1,
一分,1,
这里,1,
冠心病,2,
打下,1,
着手,1,
人身,1,
各有,1,
深受,1,
交,1,
长处,1,
中医院,1,
从此,1,
一九二九年,1,
起到,1,
药后,1,
忙于,1,
杭州,1,
杜仲,4,
往来,1,
每遇,1,
更是,1,
白天,1,
玫瑰花,0,
轻易,1,
精辟,1,
相似,1,
升阳,1,
最为,1,
增强,1,
石,1,
加味,1,
不久,1,
良医,1,
周总理,1,
一身,1,
联系实际,1,
两种,1,
