name,tag,note
，,1,0=不确定
。,1,1=无关
、,1,2=疾病
的,1,3=表型
》,1,4=用药
《,1,
之,1,
「,1,
」,1,
我,1,
在,1,
是,1,
有,1,
而,1,
了,1,
也,1,
为,1,
：,1,
),1,
(,1,
不,1,
中医,0,
等,1,
和,1,
中,0,
则,1,
与,1,
对,1,
；,1,
以,1,
他,1,
又,1,
其,1,
治疗,3,
克,3,
如,1,
但,1,
亦,1,
后,1,
先生,1,
说,1,
上,0,
用,3,
临床,0,
时,1,
于,1,
者,1,
或,1,
就,1,
-,1,
多,1,
并,1,
从,1,
即,1,
要,1,
人,1,
学习,1,
医学,0,
都,1,
到,1,
认为,1,
一,1,
病人,0,
病,2,
下,1,
能,1,
不能,1,
这,1,
地,1,
．,1,
皆,1,
经验,1,
所,1,
及,1,
使,1,
患者,0,
因,1,
曾,1,
伤寒,2,
温病,2,
可,1,
热,1,
辨证,0,
理论,0,
不同,1,
故,1,
得,1,
虽,1,
内经,0,
当时,1,
已,1,
?,1,
法,0,
来,1,
汤,1,
无,1,
先师,1,
还,1,
先父,1,
·,1,
西医,0,
方法,0,
自己,1,
把,1,
各,1,
老师,1,
邪,1,
必须,1,
余,1,
用药,1,
由于,1,
不可,1,
好,0,
去,1,
所谓,1,
由,1,
疾病,1,
伤寒论,1,
将,1,
应,1,
很,1,
药物,4,
研究,0,
可以,1,
结合,0,
见,0,
疗效,0,
且,1,
医院,0,
方,4,
药,4,
基础,0,
工作,1,
至,1,
阴阳,3,
均,0,
一个,1,
所以,1,
…,1,
临证,1,
祖父,1,
再,1,
内,0,
痰,3,
处方,1,
我们,1,
脾胃,3,
实践,0,
为主,0,
较,1,
若,1,
不足,1,
脾,1,
气,1,
此,1,
学医,0,
读书,0,
同时,1,
便,1,
病情,1,
乃,1,
气血,1,
血,1,
对于,1,
根据,1,
大,0,
阴,3,
认识,1,
一些,1,
针灸,1,
发展,1,
这样,1,
诊断,1,
年,1,
治病,1,
因此,1,
一般,1,
小儿,1,
注意,1,
过,1,
脉,1,
体会,1,
学,1,
以后,1,
书,1,
脏腑,1,
外,0,
应用,1,
仍,1,
中西医,1,
当,1,
作用,0,
方面,1,
金匮,1,
既,1,
日,1,
祖国,1,
虚,1,
问题,1,
先,1,
出,1,
古人,1,
矣,1,
经,1,
更,1,
就是,1,
煎,1,
理解,1,
治,1,
着,1,
开始,1,
胃,1,
向,1,
三,1,
掌握,1,
学术,1,
内科,1,
肝,1,
医案,1,
症状,1,
小,1,
学说,1,
北京,1,
有所,1,
名医,1,
不少,1,
上海,1,
进行,1,
才能,1,
按,1,
一定,1,
提出,1,
症,1,
主要,1,
儿科,1,
汗,3,
提高,1,
颇,1,
生,1,
发热,3,
效果,1,
痛,3,
背诵,1,
治法,1,
未,1,
通过,1,
6,1,
素问,1,
重要,1,
重视,1,
而且,1,
其中,1,
9,1,
黄,1,
行医,1,
往往,1,
～,1,
医生,1,
不仅,1,
12,1,
父亲,1,
正气,1,
方药,1,
学生,1,
论,1,
前,1,
作,1,
没有,1,
读,1,
出现,1,
精神,1,
难,1,
常用,1,
新,1,
运用,1,
遂,1,
这些,1,
属,1,
给,1,
},1,
处,1,
被,1,
补,1,
』,1,
寒热,1,
二,1,
中药,1,
问,1,
分析,1,
丸,4,
如此,1,
关系,1,
湿热,3,
妇科,1,
参,4,
中国,1,
情况,1,
一次,1,
之后,1,
于是,1,
它,1,
经过,1,
方剂,1,
金匮要略,1,
常,1,
愈,3,
曰,1,
说明,1,
湿,1,
外科,1,
除,1,
肾,1,
里,1,
主张,1,
影响,1,
3,1,
