,name,tag,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,继服,4.0,0.01854,0.012815,-0.005841,0.037952,-0.002029,-0.025272,0.073183,-0.012717,0.040849,-0.007126,0.016894,-0.022135,-0.000481,-0.028423,0.032172,0.02346,0.008814,0.028175,-0.01367,-0.010457,0.028696,0.046743,0.000349,0.01966,-0.036806,0.069943,0.070446,-0.010732,0.002436,-0.01169,0.032377,0.019779,-0.009496,-0.002892,0.01049,-0.01338,-0.029296,-0.078871,-0.045606,-0.049876,0.040596,0.05154,0.034039,0.003199,0.00178,0.00807,0.017603,-0.000691,0.068601,-0.014482,0.011883,-0.006154,0.037542,0.047302,0.038429,0.006304,0.009112,-0.000868,-0.020012,0.021625,-0.056857,-0.005027,0.000288,0.02106,0.023937,0.011948,-0.036773,0.006579,0.048696,0.02683,-0.060665,0.003951,-0.029287,-0.002697,-0.035767,-0.010444,-8.4e-05,-0.021458,0.013099,0.045655,0.016746,0.041385,0.057288,-0.001445,0.015488,-0.029437,0.014386,-0.03755,0.054215,-0.064649,-0.014152,0.010081,-0.000406,-0.044217,0.035954,0.028992,-0.005764,-0.038734,0.01871,0.015111
1,温胆,4.0,-0.007528,-0.016705,-0.006911,0.012611,-0.006817,-0.023699,0.020877,-0.009374,0.049612,0.034504,0.017964,-0.011374,-0.001963,-0.001322,0.048073,0.004102,-0.026912,-0.004862,-0.002223,0.029669,-0.024254,0.036461,0.033082,0.005204,-0.000624,-0.017613,-0.007315,-0.007723,-0.001071,-0.019645,0.020361,-0.046888,-0.021688,0.001767,0.014936,-0.002663,-0.008022,0.021965,0.018478,-0.017926,-0.009498,0.028234,0.013049,-0.007373,-0.003855,0.035128,-2.2e-05,-0.033085,0.00792,0.017269,0.015844,-0.018435,-0.008733,0.032943,0.010982,-0.03255,0.032808,-0.030609,-0.001177,0.024862,-0.02966,-0.013224,-0.011404,0.001861,0.013988,-0.005549,-0.00821,-0.00819,0.025898,0.030551,-0.024224,0.007822,-0.010077,0.027899,-0.024163,0.003932,-0.005666,-0.010359,0.001506,-0.008112,0.007556,0.000323,0.032928,0.035689,0.045892,-0.02124,-0.033333,-0.004835,0.00323,-0.002824,-0.030878,0.005397,0.005738,-0.027506,-0.002199,-0.001302,-0.009747,-0.000657,-0.004059,-0.001402
2,恐,3.0,0.007608,0.028816,-0.011285,0.019537,-0.007462,-0.020797,0.016744,-0.00459,0.004478,0.043209,-0.004027,0.006474,-0.001645,-0.020898,0.033468,0.00362,-0.028347,0.005448,-0.026105,-0.004195,0.005321,0.044669,0.021226,0.015571,-0.014542,0.022424,0.010871,-0.012254,0.035352,-0.000516,-0.011349,-0.008321,-0.014999,-0.012472,0.004146,-0.009341,-0.038855,-0.026279,-0.013629,-0.026776,0.004688,0.01893,-0.006348,-0.025074,-0.002831,0.009493,0.019513,-0.013329,0.012268,0.012632,-0.012684,-0.008413,0.022353,0.00118,0.002441,0.009735,-0.011978,-0.022629,-0.020411,0.021491,-0.02077,0.015639,0.010107,0.013883,0.012604,-0.009424,0.0072,0.00699,0.01161,-0.004333,-0.016666,0.007784,0.010487,0.024451,0.000638,-0.023734,-0.023261,-0.004662,0.019444,0.012505,0.003299,0.011095,0.024478,-0.008373,0.002644,-0.030923,-0.004227,-0.034204,0.013898,-0.04296,-6.2e-05,0.02035,0.019894,-0.020499,-0.006749,-0.00045,-0.020378,-0.026782,0.007187,-0.026664
3,瘟,2.0,-0.001831,0.021718,0.001446,0.00878,-0.010512,-0.008278,-0.009658,0.002756,-0.034248,-0.000556,-0.02244,0.023907,-0.001178,0.004361,-0.015995,-0.019397,-0.006082,0.007697,-0.00053,-0.043246,-0.008447,-0.024615,-0.017169,0.008668,0.004754,0.041347,0.016776,-0.01266,0.003038,0.028767,-0.014344,0.045022,0.027602,0.007221,-0.031102,0.029135,-0.003176,-0.008012,0.003946,0.001475,0.003636,-0.021578,-0.010551,-0.010646,-0.003523,0.008647,-0.00071,0.021645,-0.005988,-0.020913,-0.045017,-0.004287,-0.016518,-0.008474,-0.020963,0.005839,-0.015432,-0.002352,-0.006049,-0.006721,0.033525,0.010664,-0.000966,-0.00711,-0.016111,-0.011388,-0.007955,0.022008,-0.01265,-0.003956,0.000376,0.017273,-0.031474,-0.015842,0.013243,0.00068,0.008246,0.021522,-0.001077,0.012363,-0.009939,-0.001568,-0.028177,-0.053232,-0.039045,0.006481,0.001373,0.000601,-0.025095,0.007137,0.002905,-0.003196,0.016028,0.00887,-0.027446,-0.012792,-0.010296,-0.002387,0.023849,-0.020054
4,内闭,2.0,0.004204,0.081839,0.016663,0.059382,-0.042517,0.065913,0.010161,0.070736,-0.068015,0.048655,-0.040112,0.042407,0.046797,-0.007357,0.07493,-0.018502,0.033682,-0.02363,0.07608,-0.050596,0.047726,0.03276,-0.003329,-0.002236,-0.021999,0.09055,0.113723,-0.02092,0.027199,0.035825,-0.038787,0.093045,-0.016592,0.001993,-0.06098,-0.083309,-0.04017,-0.02605,-0.037182,-0.056754,-0.060801,0.041494,0.031467,-0.00645,0.02965,0.049285,-0.009759,0.008212,0.106177,-0.089309,-0.04986,0.00231,0.082658,0.015862,0.020544,0.103895,-0.067948,-0.017086,-0.049351,-0.003052,-0.013827,0.010917,0.054931,0.000908,0.039195,0.018146,-0.02563,-0.018852,0.006646,-0.023494,-0.083888,0.005792,-0.015746,0.016746,0.017751,0.007301,0.017803,-0.042913,0.010911,0.065905,-0.013301,0.051259,0.074504,-0.037732,-0.061083,0.041397,0.012988,-0.101963,0.031788,-0.114325,0.026798,0.0645,0.077629,-0.024227,0.038227,-0.027511,-0.013304,-0.03294,0.069487,-0.105532
5,哮喘,2.0,0.009567,0.034428,0.005568,0.004744,-0.039179,-0.021123,0.031792,0.024282,0.018592,0.015786,-0.003036,0.006733,0.003869,-0.00871,0.044932,-0.04347,-0.016582,-0.009359,-0.002895,-0.011828,-0.016175,0.027945,0.022402,-0.012577,0.004553,0.041199,0.050977,0.029757,0.028652,0.010839,-0.013465,-0.042876,-0.009133,-0.007672,0.040366,-0.037462,-0.019026,0.024003,0.02195,-0.040846,-0.022703,0.031211,-0.000643,0.012852,-0.002916,-0.000316,-0.004553,-0.013912,-0.035852,-0.02931,-0.033842,-0.029586,0.036581,0.000488,-0.021593,-0.012507,-0.001859,-0.037027,0.00559,0.05633,-0.057441,0.008673,-0.005853,0.023397,0.017141,-0.001708,-0.009566,-0.023073,0.008742,0.010054,-0.022199,0.008571,0.010397,0.02322,-0.009481,-0.004138,0.023094,-0.049812,-0.033599,0.006807,-0.008301,0.021658,0.017925,0.017305,-0.006977,-0.030619,-0.03059,-0.023455,-0.001348,-0.037027,-0.008725,0.024792,-0.001753,-0.023038,-0.038706,-0.001415,-0.01493,0.043048,-0.006179,-0.01037
6,风热,2.0,0.008747,0.027767,0.00889,0.026295,-0.008313,0.011017,0.014991,0.010037,-0.017367,0.024213,-0.014172,0.017658,0.002883,-0.009901,0.024757,0.003645,-0.010761,0.012166,-0.013624,-0.035322,0.015759,0.0294,-0.000299,0.015135,-0.019068,0.042392,0.026852,-0.021319,0.011429,0.005155,-0.015631,0.024299,-0.003403,-0.005132,-0.026331,-0.015192,-0.023783,-0.036874,-0.027565,-0.019878,0.002912,0.015418,0.005364,-0.025337,0.008058,0.013091,0.004577,0.010465,0.043376,-0.012178,-0.030039,-0.000103,0.021643,0.00303,0.011906,0.015229,-0.029516,-0.003576,-0.018012,0.001874,-0.002078,-0.001269,0.015434,-0.008417,0.001993,-0.008394,0.00325,0.010987,0.002882,-0.010518,-0.031419,-0.002147,-0.021211,0.00726,-0.000635,-0.00678,-0.007986,0.008003,0.025438,0.015976,0.002052,0.017391,0.007457,-0.022033,-0.024402,-0.004987,0.007369,-0.025572,0.014077,-0.032871,0.018886,0.022822,0.031429,-0.010438,0.012052,0.000418,-0.018264,-0.036739,0.028517,-0.041848
7,养心,4.0,0.008855,0.056964,0.022293,0.030676,-0.042742,0.019296,0.035137,0.029744,-0.034332,0.055839,-0.018051,0.011189,0.036242,-0.018526,0.068679,-0.008508,0.008708,-0.011971,0.003882,-0.015173,0.02433,0.052415,0.021391,-0.001323,-0.025653,0.072198,0.092976,-0.035915,0.02804,0.021108,0.008815,0.032886,-0.027198,0.00603,-0.030192,-0.057753,-0.02276,-0.036845,-0.029617,-0.059355,-0.007856,0.04861,0.029313,-0.000287,0.000643,0.024595,-0.021979,-0.010278,0.07496,-0.052101,-0.040583,-0.002236,0.035292,0.021415,0.032515,0.040227,-0.022052,-0.025939,-0.033458,0.022616,-0.024593,-0.012323,0.012952,0.03112,0.017842,0.014114,-0.019994,-0.022517,0.019959,0.02573,-0.07792,0.015023,-0.019598,0.022162,-0.010275,-0.016248,-0.011797,-0.047876,-0.00286,0.064025,0.014781,0.058087,0.047569,0.00227,-0.024269,0.001301,0.008256,-0.065323,0.020083,-0.07395,0.038864,0.023888,0.044121,-0.0387,0.025619,-0.010696,-0.027114,-0.029258,0.047148,-0.054345
8,常见病,2.0,0.011532,0.004441,0.030031,-0.035035,-0.030776,0.000871,-0.021825,-0.005738,0.015355,0.025738,0.012429,-0.003274,0.011869,0.022033,-0.016498,-0.049621,-0.023902,-0.032779,-0.008296,0.000931,-0.050902,0.00713,0.024834,-0.028146,0.010832,-0.005688,-0.038536,0.009134,0.007767,0.006662,-0.007051,-0.039709,-0.007721,0.007308,0.02178,0.021054,0.049131,0.070323,0.044818,0.005426,0.007396,-0.003128,-0.003126,0.002842,0.009811,0.015253,-0.048926,-0.027107,-0.024261,-0.022105,-0.016561,-0.017995,-0.014829,0.00141,-0.023707,-0.020863,0.005936,-0.02338,0.00606,0.045222,-0.016704,-0.015248,-0.034786,-0.005158,-0.031987,-0.041516,0.020227,0.003677,-0.010416,-0.009168,-0.002986,0.010382,0.001283,0.013209,-0.015827,0.014365,0.006701,-0.019841,-0.028701,-0.021334,-0.009577,0.000207,-0.037419,0.010342,0.009755,0.008603,-0.020149,0.024874,-0.037391,0.043277,-0.000632,-0.003207,-0.00233,0.020913,-0.057163,-0.001735,-0.021504,0.035959,-0.016032,0.019292
9,隐痛,3.0,0.039696,-0.016869,-0.019154,0.005744,0.007512,-0.031584,0.029486,0.010258,-0.01576,0.02577,-0.009512,0.021909,-0.005971,0.00021,0.034578,-0.013222,-0.017606,0.001489,-0.010144,-0.000583,-0.013753,0.029657,0.022231,-0.016799,-0.030478,0.04727,0.046925,0.014744,0.030606,0.0082,0.014185,-0.012628,0.025297,-0.023893,-0.015484,0.009643,-0.022243,-0.023316,-0.001008,-0.045081,0.033476,0.021814,-0.002647,-0.025465,0.015387,0.042097,-0.050097,0.019706,0.009759,-0.019101,-0.023427,-0.033085,-0.006576,0.01796,0.000525,-0.051464,0.04135,-0.018702,-0.002604,0.023845,-0.035815,-0.009579,0.000302,4.8e-05,-0.029203,-0.000237,-0.026881,-0.01828,0.003561,0.035913,-0.050771,0.015486,-0.025366,0.017084,-0.011437,-0.005488,0.012476,-0.007618,0.00061,0.012437,-0.010103,0.006866,0.005262,-0.005583,0.014581,-0.029045,-0.02248,0.001201,0.006373,-0.017071,-0.005548,0.038727,-0.012255,-0.009987,-0.020772,0.017167,-0.007109,0.025418,0.021316,0.012765
